ticket_id,created_at,customer_name,plan,subject,body,category,priority,resolution,resolved_at,suspect_by_llm,suspect_category,suspect_priority,suspect_confidence,suspect_reason,llm_model
TK-0061,2024-07-06T14:49:56Z,Nexbridge Consulting,Starter,Can't reset password — reset link not working,"I requested a password reset but when I click the link in the email, it says 'This link has expired.' I've tried three times and each time the link expires immediately. I need to get into my account urgently. I've verified the link URL looks correct.",account,high,The user was unable to update their email address because the email change confirmation was being sent to the old email which was no longer accessible. Verified identity through alternative means and manually updated the email address. User can now manage their account with the new email.,2024-07-08T12:22:02.036355Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0065,2024-07-07T03:19:12Z,Ironclad Security,Growth,API rate limit too low for our use case,We're hitting the 100 requests/minute API rate limit constantly. Our integration syncs data bidirectionally and needs at least 500 req/min during peak hours. We've already optimized our batching. Can the limit be raised or can we get a higher-tier API plan?,feature_request,high,Reviewed usage patterns. Increased rate limit to 300 req/min for their account (max for Growth plan). Recommended Enterprise plan for 1000 req/min limit. Also identified 3 API calls in their integration that could be replaced with a single batch endpoint to reduce volume by ~60%.,2024-07-07T18:51:17.412267Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0493,2024-12-02T21:30:33Z,Summit Advisory,Growth,Request for Gantt chart view,We use Steadfast for project management but really need a Gantt chart view to visualize project timelines and dependencies. Currently we export to MS Project for this which is clunky. Having it native in Steadfast would streamline our workflow significantly.,feature_request,low,"Feature request FR-2923. Gantt view has been our #2 most requested feature. Currently in development, expected beta in Q2. Added to the notification list. Shared a third-party Gantt integration (ChartGantt) that works with our API as a stopgap.",2024-12-04T05:13:14.520197Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0128,2024-07-27T04:35:22Z,Summit Advisory,Growth,Report generation taking over 5 minutes,Running our monthly analytics report used to take about 30 seconds. Now it's taking over 5 minutes and sometimes fails with a timeout. The report covers all projects for the past month. We need this for our monthly executive review and it's becoming unreliable.,performance,medium,Report query was joining across 6 tables without proper indexing on the date range filters. Added composite indexes for the most common report queries. Also implemented report result caching — recurring reports with the same parameters serve from cache. Report generation time back to ~30s. Added a progress indicator for long-running reports.,2024-07-29T04:00:56.521603Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0077,2024-07-11T14:56:29Z,Aurora Creative,Growth,Need to add 15 new team members,"We're onboarding a new department and need to add 15 users to our account. Can you walk me through the bulk user creation process? Also, what permission groups should I set up? We want them to have access to projects but not billing or admin settings.",account,medium,Walked through bulk user invite process (Settings > Team > Bulk Invite via CSV). Recommended creating a 'Department-Standard' permission group with project access but restricted billing/admin. Sent our permission group template guide. All 15 users successfully invited.,2024-07-13T08:23:49.600433Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0098,2024-07-13T16:35:16Z,Radiant Energy,Growth,Mobile app extremely sluggish on Android,"The Steadfast Android app has become nearly unusable in the last few updates. Scrolling through task lists is choppy, transitions are laggy, and the app crashes when opening large projects (100+ tasks). We have Pixel 7 phones (plenty of RAM). iOS version works fine.",performance,high,Identified a memory leak in the Android list virtualization component introduced in v2.14.0. The task list was rendering all items instead of virtualizing the viewport. Fix deployed in v2.14.2: proper RecyclerView implementation with view recycling. Also reduced the initial data fetch size for large projects. Memory usage down 60%.,2024-07-15T00:59:47.145614Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0083,2024-07-12T09:27:56Z,Primewave Telecom,Enterprise,Dashboard shows wrong numbers since yesterday,Our analytics dashboard has been showing completely wrong numbers since yesterday morning. Revenue figures are about 3x what they should be. Multiple team members are seeing the same thing. We rely on this for daily standups. This is really disruptive.,bug,high,Identified a data aggregation bug introduced in v3.14.2 (deployed March 10). The revenue rollup was double-counting transactions with multiple line items. Hotfix deployed in v3.14.3. Dashboard numbers now correct. Verified with customer.,2024-07-13T23:16:22.419361Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0605,2025-01-13T05:22:57Z,Luminos AI,Growth,Incorrect charge on our last invoice,"Hi team, we noticed an extra charge of $450 on our March invoice (INV-2024-3391). We're on the Growth plan and this amount doesn't match our expected billing. Can you look into this? Our finance team needs this resolved before end of quarter. Thanks, Luminos AI.",billing,high,Reviewed invoice INV-2024-3391. Found a proration charge from mid-cycle seat addition on Feb 14. Sent updated breakdown to customer. No credit needed — charge is correct but poorly labeled. Updated invoice description for clarity.,2025-01-14T08:47:55.156021Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0256,2024-09-20T22:23:04Z,Meridian SaaS Group,Growth,Account locked after too many login attempts,My account got locked after entering the wrong password too many times (I recently changed it). I can't access the password reset because my email on file is my old work email. I need to get back in ASAP — I have a client presentation in 2 hours.,account,high,Identity verified via security questions and account ownership confirmation (matching company domain + role). Unlocked account and sent password reset to verified alternate email. Updated primary email on file. Recommended enabling SSO to avoid future lockouts.,2024-09-22T06:51:47.833726Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0094,2024-07-13T01:51:31Z,Delta Compliance,Enterprise,Suspicious login attempts on admin account,We're seeing failed login attempts on our admin account from unfamiliar IP addresses. The attempts are happening at odd hours (2-4 AM our time) from IPs in countries where we don't operate. Want to make sure our account hasn't been compromised and understand what protections are in place.,security,critical,"Reviewed login audit log. Found 23 failed attempts from 5 IPs over the past week — all blocked by rate limiting. No successful unauthorized logins. Recommended: 1) Enable 2FA on all admin accounts immediately, 2) Enable IP allowlisting, 3) Rotate admin password. Added the suspicious IPs to our global blocklist. Escalated to security team for monitoring.",2024-07-14T10:54:03.933570Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0099,2024-07-15T10:11:12Z,Granite Construction Co.,Starter,Email notifications arriving with wrong timestamps,All our email notifications from Steadfast show timestamps that are 5 hours ahead. We're in EST but the emails show times in what looks like UTC. This started happening about two weeks ago. Our team is getting confused about when events actually occurred.,bug,medium,Bug in notification service: timezone was hardcoded to UTC after a refactor in v3.12.0 instead of reading from the account's timezone setting. Fix deployed in v3.14.1. Notifications now respect account timezone. Existing queued notifications flushed and regenerated.,2024-07-16T14:07:45.362768Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0558,2024-12-30T18:32:12Z,Zenith Marketing,Enterprise,Pagination broken on team member list,Our organization has 340 team members. The team management page only shows the first 50 and the 'Next' button doesn't work — it refreshes the same page. I can't access members beyond page 1. This makes user management impossible for us.,bug,medium,Pagination offset was being reset to 0 on each navigation due to a state management bug in the React component. Fixed the useEffect dependency array. Also increased default page size to 100. Deployed in v3.14.2.,2024-12-31T17:02:55.294160Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0110,2024-07-19T10:04:51Z,Whitecap Marine,Growth,Search returning stale results — showing old data,"When I search for tasks, the results show task titles and descriptions from days ago, not the current values. For example, I renamed a task yesterday but the old name shows in search. If I click through, the task shows the correct current name. It's like the search index is outdated.",bug,medium,"The search indexing service was failing to process new documents due to an Elasticsearch cluster disk space issue. Freed up disk space, restarted the indexing service, and queued a full reindex. New content should be searchable immediately. Added disk space monitoring.",2024-07-20T01:11:37.435128Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0245,2024-09-17T15:22:01Z,Foxglove Logistics,Enterprise,API response times have doubled in the last week,Our API integration is experiencing significant latency increases. Average response time went from ~200ms to ~500ms across all endpoints. This is impacting our real-time sync. We haven't changed anything on our end. Is there a platform-wide performance issue?,performance,high,Correlated with a database migration that was running during off-peak hours but bleeding into business hours. The migration was rebalancing table partitions. Paused the migration during business hours (9 AM - 6 PM ET) and scheduled completion for weekend. API latency back to normal (~200ms). Will monitor during next maintenance window.,2024-09-17T18:52:18.817103Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0115,2024-07-21T12:45:50Z,Ironpeak Systems,Starter,Webhook payloads missing customer_id field,"Since your last update, the webhook payloads for 'invoice.paid' events no longer include the customer_id field. Our integration relies on this field to match payments to our internal records. This is breaking our automated reconciliation process.",bug,high,Confirmed regression introduced in API v2.8.0. The customer_id field was inadvertently removed during a payload schema migration. Restored the field and added it to the API contract tests. Patch released in v2.8.1. Backfilled missed webhooks for the last 48 hours.,2024-07-22T16:21:24.993818Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0158,2024-08-08T18:14:51Z,Polaris Navigation,Starter,Tax exemption certificate not being applied,We submitted our tax exemption certificate three months ago but our invoices still show sales tax. We're a registered nonprofit and shouldn't be charged tax. This has been an ongoing issue. Can you escalate this?,billing,low,Found the tax exemption certificate was uploaded but not linked to the billing profile due to a mismatch in EIN. Corrected the linking. Applied retroactive tax credits for the last 3 invoices totaling $847.22. Future invoices will reflect exempt status.,2024-08-10T12:47:33.523492Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0120,2024-07-24T00:20:59Z,Aurora Creative,Growth,Zapier trigger not firing for new tasks,We have a Zapier automation that should trigger when a new task is created in Steadfast. It worked initially but stopped firing about a month ago. Our Zap history shows no triggers. The Zap is turned on and connected. Other Zaps (not connected to Steadfast) work fine.,integration,high,The webhook subscription for their Zap had expired (30-day TTL on unauthenticated webhooks). Resubscribed the webhook and recommended they use our authenticated webhook option (requires API key in header) which doesn't expire. Also filed ENG-4488 to extend unauthenticated webhook TTL.,2024-07-25T18:05:41.860341Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0352,2024-10-20T07:46:29Z,Horizon Tech,Growth,Bulk operations timing out,"Trying to do bulk updates on 500+ tasks (changing status, assigning to team) and the operation times out every time. The loading spinner goes for about 2 minutes then I get a gateway timeout error. Doing them one by one would take hours. Need this fixed urgently.",performance,high,"Bulk operations over 200 items were hitting the 120s timeout on the API gateway. Two fixes: 1) Changed bulk operations to async processing (job queue) with progress tracking, 2) Increased batch size per API call from 50 to 200. Customer can now bulk-update 500 tasks in ~15s. Job status visible in Settings > Background Jobs.",2024-10-21T02:55:33.288236Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0132,2024-07-28T08:34:08Z,Vanguard Financial,Growth,Confused about workspace vs project structure,"I'm trying to organize our company in Steadfast but I'm confused about the hierarchy. What's the difference between a workspace, a space, and a project? We have 4 departments each with multiple teams. How should I structure this? Don't want to set it up wrong and have to redo everything.",onboarding,high,"Explained the hierarchy: Workspace (company-level) > Spaces (departments) > Projects (team/initiative-level). For their setup: 4 spaces for departments, projects within each for ongoing initiatives. Sent our 'Workspace Architecture Guide' (KB-1008). Recommended starting with one department as a pilot.",2024-07-28T21:26:14.121386Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0133,2024-07-29T09:34:51Z,Nimbus Health,Starter,Locked out after too many password attempts,I tried logging in this morning and after 5 attempts my account got locked. I think I was using my old password. The lockout message says to contact support to unlock. Can you please unlock my account? My email is patricia.wu@company.com. I have meetings in an hour that I need to prepare for.,security,medium,Verified identity via security questions and account email ownership. Account unlocked. Sent password reset link to verified email. Recommended enabling SSO or using a password manager to prevent future lockouts. Account lockout policy: 5 failed attempts = 30 min lockout or admin unlock.,2024-07-30T02:54:55.753172Z,True,True,False,0.9,"An account lockout due to forgotten password is an account access issue, not a security category ticket; it requires no security investigation.",claude-sonnet-4-6
TK-0751,2025-03-06T23:28:09Z,ClearEdge Financial,Enterprise,Automated reports sending to wrong recipients,Our scheduled weekly report that should go to the management team (distribution list: mgmt@ClearEdge Financial) is being sent to individual contributors instead. We noticed this started after we updated our team structure last week. Some sensitive data may have been exposed to the wrong people.,bug,medium,The report distribution logic was caching the recipient list and not invalidating on team structure changes. Cleared the cache and added cache-busting on team membership updates. Verified correct recipients for next scheduled send. Recommended customer review who received the misrouted reports.,2025-03-08T09:30:05.263881Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0329,2024-10-13T00:47:17Z,Horizon Tech,Starter,REST API returning 429 errors during peak hours,We're getting 429 (Too Many Requests) errors from your API between 9-11 AM when our team is most active. We're making about 200 requests per minute across our integration services. The rate limit headers show a 100/min limit. This is blocking our automated workflows.,integration,medium,Current rate limit for Growth plan is 100 req/min. Analyzed their usage pattern and found redundant polling that could be replaced with webhooks. Helped restructure to use webhooks for real-time events and reduce API polling to 40 req/min. Also applied a temporary rate limit bump to 200/min while they implement changes.,2024-10-13T18:04:49.056666Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0288,2024-09-28T23:56:45Z,Skyward Freight,Starter,Question about enterprise pricing tiers,We're evaluating whether to upgrade from Growth to Enterprise. Can you send over the current Enterprise pricing structure? Specifically interested in volume discounts for 500+ seats and what's included in the Enterprise SLA. Thanks!,billing,medium,"Sent Enterprise pricing sheet (v2024-Q4). Key points: $38/seat/month at 500+ seats, 99.95% SLA, dedicated CSM, priority support queue. Looped in sales (Sarah K.) for a deeper pricing conversation.",2024-09-30T20:20:11.613483Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0145,2024-07-31T08:52:46Z,Atlas Engineering,Enterprise,Need to update payment method,Our corporate card on file is expiring next month. I need to switch to a new card but the billing settings page keeps timing out when I try to save. I've tried three different browsers. Can someone help me update this before our next billing cycle?,billing,high,Confirmed the payment update form has a known issue with cards requiring 3DS verification. Walked customer through the alternative update flow via Settings > Billing > Manual Update. Card updated successfully.,2024-07-31T23:24:26.863959Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0149,2024-08-02T06:13:09Z,Pinnacle Health,Enterprise,CSV import timing out with large files,"Trying to import a CSV file with 50,000 rows (about 15MB) and it times out every time after about 3 minutes. We need to do this import for our data migration. Smaller files (under 1,000 rows) import fine. Is there a file size or row limit we're hitting?",integration,high,The CSV export was failing due to a formatting issue with special characters in the data. Updated the export service to properly escape special characters and handle UTF-8 encoding. CSV exports should now download correctly with proper formatting.,2024-08-02T20:46:03.239212Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0152,2024-08-02T22:29:29Z,Horizon Tech,Growth,Getting rate limited on /v2/reports endpoint,We're hitting 429 errors specifically on the /v2/reports endpoint when generating our daily analytics reports. Other endpoints are fine. We're only making about 10 requests per minute to this endpoint. The error started yesterday.,performance,high,The rate limit on /v1/exports was temporarily reduced during a backend migration. We've restored the original limits and your export requests should go through without hitting 429 errors. Let us know if the issue persists.,2024-08-04T14:04:06.189275Z,True,False,True,0.92,"The resolution references fixing limits on '/v1/exports' but the ticket reports 429 errors on '/v2/reports', suggesting a mismatch in the resolution, but more clearly the priority is high while the issue (rate limiting on one endpoint, only 10 req/min) is more consistent with medium priority given no data loss or outage.",claude-sonnet-4-6
TK-0324,2024-10-10T15:04:17Z,Mosaic Creative,Growth,Question about data retention after downgrade,"We're considering downgrading from Enterprise to Growth. What happens to our data? Specifically: archived projects, custom fields, and integration configurations. Will we lose anything? Need to understand the full impact before making a decision.",account,low,"Detailed the downgrade impact: archived projects remain accessible (read-only for those exceeding Growth limits), custom fields preserved but limited to 20 (currently using 34), integrations limited to 5 active (currently 12). Sent full comparison doc. Recommended exporting before downgrade as a safety measure.",2024-10-12T07:07:57.623624Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0157,2024-08-08T09:42:55Z,Thunderbolt Media,Growth,Custom dashboard widgets,"The default dashboard layout doesn't quite fit our workflow. We'd love to be able to create custom widgets — like a KPI tracker that pulls specific metrics, or a team workload heatmap. Configurable dashboards would be a huge value-add for us.",feature_request,low,"Feature request FR-2917. Custom dashboards are in active development (alpha internally). Added to early access list. In the meantime, suggested using the embedded analytics iframe option with their BI tool.",2024-08-09T21:28:11.502345Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0316,2024-10-08T00:11:34Z,Velvet Commerce,Starter,Cancellation and final billing inquiry,We've decided to move to a different platform. Please process our cancellation effective end of this billing cycle. Also need confirmation of what our final invoice will look like — we don't want any surprise charges after cancellation.,billing,high,Processed cancellation request. Account set to downgrade at cycle end (2025-04-01). Final invoice will include usage through March 31 only. No early termination fee on monthly plan. Sent confirmation email with detailed final invoice preview.,2024-10-09T14:10:57.203762Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0163,2024-08-10T00:10:19Z,Thunderbolt Media,Enterprise,Can we get a walkthrough of the reporting features?,Our team wants to better understand the reporting capabilities in Steadfast. We're not using reports much right now but our management wants regular project status updates. Can someone give us a tour of what's available?,account,high,"Scheduled a 30-minute reporting walkthrough. Covered: built-in report templates, custom report builder, scheduled report delivery, and dashboard widgets. Shared our Reporting Best Practices guide (KB-1060). Customer set up 3 recurring reports.",2024-08-11T21:55:32.638332Z,True,False,True,0.95,"A request for a product walkthrough of reporting features is a low-urgency how-to question, not a high-priority issue.",claude-sonnet-4-6
TK-0166,2024-08-10T11:36:05Z,Nimbus Health,Growth,Setting up SSO for our organization,We'd like to enable SSO using our company's Azure AD. I've read the docs but I'm getting stuck on the SAML configuration — specifically the assertion consumer service URL and the entity ID. Can someone help me get this configured?,account,critical,"Scheduled a 30-minute screen share to walk through SSO setup. Key settings: ACS URL is https://app.steadfast.io/auth/saml/callback, Entity ID is https://app.steadfast.io/saml/metadata. Helped configure attribute mappings (email, firstName, lastName, department). SSO working after the call. Sent config doc for reference.",2024-08-12T11:27:39.170649Z,False,False,False,0.0,,claude-sonnet-4-6
